,municipio,delito,trend
740,Juanacatlán,Fraude_Fraude,-0.09999999999999998
741,Juanacatlán,Fraude_Fraude_Fraude,-0.09999999999999998
742,Tonalá,Homicidio_Homicidio doloso_Con otro elemento,-0.09999999999999998
743,Acatlán de Juárez,Robo_Robo de vehículo automotor,-0.10075998589776147
744,Ixtlahuacán de los Membrillos,Daño a la propiedad,-0.101454127521452
745,Ixtlahuacán de los Membrillos,Daño a la propiedad_Daño a la propiedad,-0.101454127521452
746,Zapopan,Violencia familiar_Violencia familiar_Violencia familiar,-0.10176619007569387
747,Zapopan,Robo_Robo a transeúnte en vía pública_Con violencia,-0.10304942166140907
748,Tonalá,Amenazas_Amenazas,-0.10327980401399739
749,Tonalá,Amenazas,-0.10327980401399739
750,Zapopan,Abuso de confianza,-0.10687535359313327
751,Tlajomulco de Zúñiga,Robo_Robo a transportista,-0.10699205093351094
752,Acatlán de Juárez,Robo_Otros robos_Sin violencia,-0.1071428571428571
753,Zapotlanejo,Otros delitos contra la familia_Otros delitos contra la familia,-0.10797804907508524
754,Zapotlanejo,Otros delitos contra la familia,-0.10797804907508524
755,San Pedro Tlaquepaque,Extorsión_Extorsión,-0.10869565217391308
756,San Pedro Tlaquepaque,Extorsión_Extorsión_Extorsión,-0.10869565217391308
757,Ixtlahuacán de los Membrillos,Robo_Robo de vehículo automotor,-0.11013602228019304
758,El Salto,Robo_Robo a casa habitación_Con violencia,-0.11111111111111116
759,Acatlán de Juárez,Robo_Robo a transeúnte en vía pública_Con violencia,-0.11111111111111116
760,Acatlán de Juárez,Robo_Robo de vehículo automotor_Robo de coche de 4 ruedas Sin violencia,-0.11111111111111116
761,Zapotlanejo,Despojo_Despojo_Despojo,-0.11111111111111116
762,El Salto,Allanamiento de morada_Allanamiento de morada,-0.11703254614211711
763,El Salto,Allanamiento de morada,-0.11703254614211711
764,Guadalajara,Robo_Robo a transportista,-0.1184107994160628
765,San Pedro Tlaquepaque,Extorsión,-0.12001933984888136
766,Zapopan,Violencia familiar_Violencia familiar,-0.12010305179514535
767,Zapopan,Violencia familiar,-0.12010305179514535
768,Tonalá,Abuso de confianza_Abuso de confianza_Abuso de confianza,-0.12121212121212122
769,Tonalá,Abuso de confianza_Abuso de confianza,-0.12121212121212122
770,San Pedro Tlaquepaque,Robo_Robo a transeúnte en vía pública,-0.12308612950921838
771,Guadalajara,Robo_Robo a transeúnte en vía pública_Con violencia,-0.12370790263421139
772,Zapotlanejo,Extorsión,-0.12405662502087578
773,Tlajomulco de Zúñiga,Otros delitos que atentan contra la libertad personal,-0.12444063591250454
774,Tlajomulco de Zúñiga,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.12444063591250454
775,Zapotlanejo,Otros delitos contra la familia_Otros delitos contra la familia_Otros delitos contra la familia,-0.125
776,Tonalá,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.125
777,Ixtlahuacán de los Membrillos,Robo_Robo a negocio_Con violencia,-0.125
778,Tonalá,Homicidio,-0.12605510291645095
779,Tonalá,Abuso de confianza,-0.12910910420585098
780,Tonalá,Homicidio_Homicidio doloso_Con arma de fuego,-0.13
781,Zapopan,Contra el medio ambiente_Contra el medio ambiente_Contra el medio ambiente,-0.13043478260869568
782,Tonalá,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.1318280438054713
783,Tonalá,Otros delitos que atentan contra la libertad personal,-0.1318280438054713
784,Tonalá,Falsificación_Falsificación_Falsificación,-0.1333333333333333
785,Acatlán de Juárez,Amenazas_Amenazas_Amenazas,-0.1333333333333333
786,Tlajomulco de Zúñiga,Robo_Robo de vehículo automotor_Robo de motocicleta Con violencia,-0.13636363636363635
787,Acatlán de Juárez,Homicidio,-0.13705628660840874
788,Tonalá,Lesiones_Lesiones culposas,-0.13755124457330403
789,Tonalá,Falsificación_Falsificación,-0.14155370120360777
790,Tonalá,Falsificación,-0.14155370120360777
791,El Salto,Robo_Robo a transportista,-0.1425966489203092
792,Tonalá,Lesiones_Lesiones dolosas_Con arma blanca,-0.1428571428571429
793,Tlajomulco de Zúñiga,Contra el medio ambiente_Contra el medio ambiente_Contra el medio ambiente,-0.1428571428571429
794,Acatlán de Juárez,Despojo_Despojo_Despojo,-0.1428571428571429
795,El Salto,Delitos cometidos por servidores públicos_Delitos cometidos por servidores públicos_Delitos cometidos por servidores públicos,-0.1428571428571429
796,Zapotlanejo,Extorsión_Extorsión_Extorsión,-0.1428571428571429
797,Zapotlanejo,Extorsión_Extorsión,-0.1428571428571429
798,Acatlán de Juárez,Amenazas,-0.1437292391446635
799,Acatlán de Juárez,Amenazas_Amenazas,-0.1437292391446635
800,Tonalá,Robo,-0.14643073881916435
801,Tonalá,Lesiones,-0.14677490930810988
802,Tlajomulco de Zúñiga,Robo_Robo a casa habitación_Con violencia,-0.1470588235294118
803,Tonalá,Lesiones_Lesiones dolosas,-0.14898127208447376
804,Zapopan,Contra el medio ambiente_Contra el medio ambiente,-0.14976902788258717
805,Zapopan,Contra el medio ambiente,-0.14976902788258717
806,Tonalá,Lesiones_Lesiones dolosas_Con otro elemento,-0.15165876777251186
807,Guadalajara,Robo_Robo de vehículo automotor_Robo de coche de 4 ruedas Con violencia,-0.15548172757475087
808,Acatlán de Juárez,Despojo,-0.1558292503372899
809,Acatlán de Juárez,Despojo_Despojo,-0.1558292503372899
810,Tonalá,Lesiones_Lesiones culposas_En accidente de tránsito,-0.16153846153846152
